,Species,HabitatS2020,HabitatW2019,HabitatSimple,HabitatComplex,Clade,Thalattosuchian,Metriorhynchid,Terrestrial,Semiaquatic,Freshwater,MarineSA,Marine,Pelagic,Aquatic
Junggarsuchus_sloani,Junggarsuchus_sloani,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Sphenosuchia,No,No,Yes,No,No,No,No,No,No
Protosuchus_haughtoni,Protosuchus_haughtoni,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Protosuchia,No,No,Yes,No,No,No,No,No,No
cf_Hamadasuchus_rebouli,cf_Hamadasuchus_rebouli,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Notosuchia,No,No,Yes,No,No,No,No,No,No
Campinasuchus_dinizi,Campinasuchus_dinizi,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Notosuchia,No,No,Yes,No,No,No,No,No,No
Lohuecosuchus_megadontos,Lohuecosuchus_megadontos,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Gavialis_gangeticus,Gavialis_gangeticus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Tomistoma_schlegelii,Tomistoma_schlegelii,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Osteolaemus_tetraspis,Osteolaemus_tetraspis,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Mecistops_cataphractus,Mecistops_cataphractus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_acutus,Crocodylus_acutus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_johnstoni,Crocodylus_johnstoni,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_moreletii,Crocodylus_moreletii,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_niloticus,Crocodylus_niloticus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_porosus,Crocodylus_porosus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Crocodylus_rhombifer,Crocodylus_rhombifer,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Alligator_mississippiensis,Alligator_mississippiensis,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Alligator_sinensis,Alligator_sinensis,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Caiman_crocodilus,Caiman_crocodilus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Paleosuchus_palpebrosus,Paleosuchus_palpebrosus,Semiaquatic,Freshwater,Aquatic,Freshwater,Neosuchia,No,No,No,Yes,Yes,No,No,No,Yes
Plagiophthalmosuchus_gracilirostris,Plagiophthalmosuchus_gracilirostris,Semiaquatic,Marine,Aquatic,MarineSemiaquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Macrospondylus_bollensis,Macrospondylus_bollensis,Semiaquatic,Marine,Aquatic,MarineSemiaquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Pelagosaurus_typus,Pelagosaurus_typus,Semiaquatic,Marine,Aquatic,MarineSemiaquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Eoneustes_gaudryi,Eoneustes_gaudryi,Semiaquatic,Marine,Aquatic,MarineSemiaquatic,Thalattosuchia,Yes,No,No,Yes,No,Yes,Yes,No,Yes
Cricosaurus_schroederi,Cricosaurus_schroederi,Pelagic,Marine,Aquatic,Pelagic,Thalattosuchia,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Cricosaurus_araucanensis,Cricosaurus_araucanensis,Pelagic,Marine,Aquatic,Pelagic,Thalattosuchia,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Thalattosuchus_superciliosus,Thalattosuchus_superciliosus,Pelagic,Marine,Aquatic,Pelagic,Thalattosuchia,Yes,Yes,No,No,No,No,Yes,Yes,Yes